Catalog of Fluxes for Abell 2218 using /data/mercado/SPIRE/hermes_clusters/a2218_PSW_nr_1.fits 
Mean percent error of XID flux with HeDam Flux is: 113.47734263724601 
Source Num     Pixel x          Pixel y     HeDam Flux         XID flux     DAO flux     Peak Flux 
238              175.78696       108.68451       0.00000          0.00394        0.01042        0.01165  
239              83.42455       110.33208       0.01916          0.00727        0.01823        0.01853  
240              93.84865       110.41407       0.00000          0.02871        0.03366        0.01516  
241              196.14611       110.36079       0.00000          0.00152        0.00642        0.01060  
242              220.38776       110.34339       0.02535          0.00493        0.03008        0.01265  
243              44.39447       110.23795       0.00000          0.00231        0.00521        0.00940  
244              126.09023       111.18181       0.03509          0.06727        0.06097        0.06093  
245              137.48267       110.63264       0.00000          0.01794        0.00764        0.01147  
246              187.42103       109.73333       0.00000          0.00315        0.00437        0.01060  
247              140.63423       111.89162       0.02418          0.01251        0.01074        0.01466  
248              62.83405       113.12823       0.00000          0.00203        0.00579        0.01713  
249              152.51027       113.45363       0.01334          0.00473        0.01193        0.02668  
250              176.26597       111.44553       0.00000          0.00208        0.00469        0.01165  
251              214.79829       113.31634       0.00000          0.02371        0.02823        0.03159  
252              240.00865       112.73484       0.00000          0.00683        0.01493        0.03822  
253              66.23273       114.19046       0.00000          0.00754        0.02003        0.01713  
254              101.37432       114.29110       0.00284          0.01446        0.01496        0.00887  
255              113.97654       114.32094       0.00000          0.00230        0.00958        0.01080  
256              131.18331       114.41666       0.03872          0.03094        0.04097        0.01243  
257              183.77261       114.34335       0.00510          0.00252        0.00602        0.01060  
258              201.94999       114.04186       0.01180          0.00208        0.01184        0.01060  
259              229.82586       113.21386       0.00000          0.01543        0.00487        0.01079  
260              75.20813       116.00715       0.00000          0.00612        0.00675        0.01340  
261              87.80396       114.63527       0.02228          0.02663        0.02323        0.01987  
262              103.80098       115.48448       0.00284          0.02279        0.00456        0.00887  
263              136.75720       114.29297       0.00000          0.02111        0.00959        0.01472  
264              165.83727       115.44695       0.02098          0.01220        0.02400        0.01983  
265              195.16089       114.97747       0.00000          0.00416        0.01468        0.01060  
266              208.97281       115.33031       0.00000          0.00604        0.00893        0.09738  
267              237.08801       114.69669       0.00000          0.01313        0.00905        0.03822  
268              141.36201       115.43147       0.01780          0.01495        0.01906        0.01466  
269              97.74551       116.40173       0.00000          0.02016        0.01138        0.01157  
270              72.55362       118.35945       0.00000          0.01436        0.01365        0.01340  
271              184.73330       117.58592       0.00583          0.00254        0.00430        0.02711  
272              220.10802       117.78210       0.00000          0.03307        0.09525        0.01812  
273              50.99263       118.83629       0.00000          0.00947        0.01569        0.00992  
274              109.38399       119.61073       0.00000          0.00512        0.00699        0.01080  
275              117.13503       118.81503       0.00000          0.03245        0.02861        0.01080  
276              158.80451       120.77847       0.00000          0.00343        0.00644        0.01958  
277              188.84540       119.93752       0.00614          0.00258        0.00474        0.02711  
278              192.96049       120.97025       0.00000          0.00307        0.00781        0.00856  
279              211.13467       119.65977       0.00000          0.04438        0.10442        0.09738  
280              60.69459       120.75996       0.03499          0.07199        0.04868        0.01500  
281              88.06975       120.99435       0.00000          0.00534        0.00670        0.01987  
282              92.19380       122.71971       0.00000          0.00564        0.00633        0.01155  
283              46.16916       122.28671       0.00000          0.01102        0.04166        0.03269  
284              167.76584       121.86986       0.01392          0.00981        0.01846        0.01263  
285              41.08739       123.04036       0.00000          0.00530        0.00484        0.03269  
286              64.33773       122.54043       0.00000          0.05187        0.01893        0.01197  
287              230.24200       125.27646       0.00000          0.01841        0.00671        0.01088  
288              100.18962       123.65452       0.02653          0.02532        0.02708        0.01063  
289              126.10552       124.14180       0.00342          0.00189        0.00552        0.01342  
290              217.17300       123.46775       0.00000          0.00829        0.00816        0.01812  
291              52.24069       124.88883       0.00000          0.02814        0.01306        0.01235  
292              131.67610       124.37625       0.00000          0.00394        0.00515        0.01515  
293              155.41011       124.73554       0.01547          0.02614        0.02309        0.01958  
294              211.84348       123.68298       0.00000          0.02059        0.00944        0.09738  
295              91.71785       125.18137       0.00000          0.01369        0.00650        0.01912  
296              115.21015       125.83858       0.00000          0.01015        0.00817        0.01080  
297              141.36378       125.63148       0.05760          0.02928        0.04548        0.01466  
298              188.09925       126.59537       0.00000          0.00445        0.01489        0.02711  
299              200.93350       126.57813       0.00569          0.00360        0.00495        0.01371  
300              83.97565       127.07005       0.00000          0.00593        0.00866        0.01724  
301              137.73163       126.47254       0.00000          0.00666        0.01796        0.01515  
302              183.49603       127.48269       0.00000          0.00526        0.02058        0.03173  
303              195.11901       127.39742       0.00000          0.00587        0.01213        0.02415  
304              223.69732       126.38067       0.09728          0.00303        0.00546        0.01088  
305              229.50702       126.77233       0.00000          0.01101        0.00975        0.01088  
306              145.72241       128.81135       0.04793          0.10062        0.03440        0.01996  
307              163.88250       127.74428       0.00399          0.00218        0.00794        0.01263  
308              208.43357       128.16816       0.00953          0.00336        0.01097        0.09738  
309              44.75864       128.83604       0.00000          0.00567        0.00947        0.01184  
310              71.63261       128.44395       0.00000          0.00840        0.00819        0.01116  
311              92.94267       129.31722       0.00000          0.01455        0.01179        0.01912  
312              117.63627       128.41417       0.00000          0.00539        0.00645        0.01080  
313              132.89015       128.63532       0.00000          0.00818        0.00611        0.01515  
314              154.19683       128.27468       0.00000          0.01846        0.01579        0.01195  
315              192.20705       129.36789       0.00000          0.01179        0.01508        0.01032  
316              58.08226       130.01471       0.00000          0.03960        0.03784        0.04015  
317              82.53324       129.65585       0.00000          0.01283        0.01014        0.01724  
318              176.22579       130.34550       0.00000          0.00631        0.00747        0.02054  
319              228.52404       129.34686       0.00000          0.01752        0.01069        0.02399  
320              199.22247       130.95183       0.00165          0.00743        0.01778        0.01371  
321              233.11316       131.23318       0.00000          0.01288        0.01224        0.01332  
322              60.75621       131.97983       0.04875          0.02761        0.00932        0.01061  
323              104.57011       131.68253       0.00000          0.03796        0.01705        0.01312  
324              129.74622       132.47795       0.00000          0.01756        0.03135        0.01342  
325              142.09106       131.81137       0.03392          0.13666        0.07538        0.01117  
326              77.94532       132.43518       0.00000          0.01998        0.02090        0.02584  
327              92.71193       132.67802       0.00000          0.01233        0.00861        0.01912  
328              183.48149       133.06267       0.00000          0.01915        0.01378        0.03173  
329              74.08318       134.79253       0.00167          0.02015        0.02227        0.01116  
330              219.05742       134.21711       0.00000          0.01855        0.02525        0.01008  
331              243.49653       135.25788       0.00957          0.00291        0.00545        0.03822  
332              55.69240       135.36855       0.00000          0.02054        0.02198        0.00933  
333              69.25045       136.37562       0.00000          0.00482        0.00946        0.01116  
334              131.44385       136.37645       0.02857          0.03230        0.02044        0.01473  
335              142.09166       136.61137       0.03392          0.11409        0.03288        0.03992  
336              187.09958       137.51255       0.00000          0.01616        0.01304        0.00911  
337              195.32802       137.17819       0.00000          0.00378        0.00582        0.01337  
338              204.76533       137.21310       0.04286          0.02235        0.03593        0.03417  
339              211.30178       136.58071       0.00000          0.00679        0.00781        0.03417  
340              52.80450       138.08571       0.00000          0.00860        0.01362        0.01235  
341              92.24709       138.31964       0.02490          0.03026        0.02437        0.04251  
342              147.17332       137.33158       0.01072          0.03532        0.02168        0.00868  
343              159.27049       139.13894       0.01004          0.00796        0.01393        0.02281  
344              229.91782       139.73490       0.00000          0.01359        0.01754        0.01088  
345              79.67311       140.28783       0.00000          0.00301        0.02192        0.01797  
346              102.65615       139.96767       0.00714          0.00307        0.00629        0.01625  
347              108.94778       140.49180       0.01749          0.00353        0.02517        0.02977  
348              126.12358       139.44180       0.00000          0.00256        0.00892        0.06093  
349              172.09176       140.29730       0.00000          0.00331        0.01069        0.01165  
350              176.44552       140.78600       0.00000          0.00871        0.00450        0.01165  
351              223.63046       139.10053       0.02857          0.04760        0.01944        0.02015  
352              187.33281       140.57323       0.00612          0.01098        0.01360        0.00911  
353              69.03459       141.65677       0.01016          0.00256        0.01900        0.01177  
354              76.05461       142.64366       0.00000          0.00324        0.00436        0.01797  
355              132.65841       142.49549       0.00000          0.00365        0.00831        0.01473  
356              155.39693       142.25554       0.02415          0.00485        0.02981        0.02690  
357              165.31504       142.14625       0.00000          0.01947        0.02855        0.01983  
358              190.95875       141.54404       0.00000          0.00833        0.01485        0.01337  
359              94.68197       142.99155       0.00000          0.01740        0.01135        0.02015  
360              78.47772       143.59299       0.00000          0.00506        0.00823        0.01797  
361              87.91840       145.53511       0.01390          0.01516        0.01834        0.01987  
362              105.81345       144.75940       0.00429          0.00387        0.00541        0.02977  
363              125.40607       146.22266       0.00000          0.01028        0.01249        0.06093  
364              174.01913       144.38100       0.00000          0.02210        0.01915        0.01165  
365              133.86958       145.01464       0.00000          0.00193        0.00739        0.02691  
366              145.96226       146.33137       0.02729          0.00435        0.01023        0.01466  
367              243.43231       145.03771       0.00957          0.00415        0.00912        0.03822  
368              113.79978       147.20137       0.00429          0.00982        0.01581        0.01418  
369              197.47366       146.30568       0.00000          0.03384        0.03327        0.00856  
370              225.52505       146.73074       0.02857          0.00444        0.00727        0.02015  
371              50.44561       147.94032       0.02080          0.00546        0.02385        0.00992  
372              140.64232       148.37162       0.00000          0.00875        0.01726        0.01466  
373              158.53588       148.25823       0.00700          0.00867        0.01680        0.02281  
374              208.10786       147.90699       0.00491          0.00235        0.00693        0.00856  
375              44.89140       149.11569       0.00000          0.00435        0.00877        0.00992  
376              62.54010       148.59042       0.00000          0.01657        0.02004        0.01061  
377              76.08529       149.48360       0.00246          0.01434        0.01926        0.01635  
378              84.54335       148.30801       0.00888          0.00683        0.01828        0.02151  
379              177.87827       149.18916       0.04263          0.01675        0.04695        0.03906  
380              215.83956       149.26172       0.00000          0.00391        0.00873        0.02015  
381              108.00204       149.73405       0.00549          0.00465        0.00662        0.01418  
382              203.26529       149.50727       0.00000          0.00456        0.00564        0.00856  
383              92.04775       150.74041       0.00696          0.00648        0.00765        0.01987  
384              98.57922       151.97941       0.00000          0.00243        0.00628        0.01266  
385              120.81878       151.20900       0.08991          0.16285        0.49035        0.01027  
386              138.70874       150.77217       0.01768          0.00611        0.02001        0.02691  
387              152.00552       151.31337       0.00000          0.00222        0.01500        0.00986  
388              156.84146       150.35670       0.01671          0.01302        0.01913        0.01029  
389              146.68676       152.03149       0.00256          0.00432        0.01018        0.02668  
390              166.02616       152.16728       0.00000          0.00447        0.01223        0.02294  
391              235.65178       151.76877       0.00000          0.00549        0.01053        0.01313  
392              36.94066       153.18996       0.00000          0.03229        0.01491        0.01256  
393              77.30797       152.59820       0.00246          0.04139        0.03097        0.02668  
394              171.82755       152.41683       0.00000          0.01285        0.00975        0.02294  
395              181.25344       153.21710       0.00000          0.01222        0.01057        0.00903  
396              246.76171       153.40017       0.00957          0.01799        0.02975        0.00999  
