Field,IAU,RA,Dec,F350,e_F350
CD-Abell-2218,2HERMES S350 SF J163532.6+661903,248.88615,66.317726,12.340723,0.45593378
CD-Abell-2218,2HERMES S350 SF J163532.8+660915,248.88678,66.15434,12.108223,0.44473928
CD-Abell-2218,2HERMES S350 SF J163533.0+661456,248.88753,66.24889,6.328671,0.43139562
CD-Abell-2218,2HERMES S350 SF J163533.8+661258,248.89099,66.21631,3.9252174,0.41442758
CD-Abell-2218,2HERMES S350 SF J163534.2+660726,248.8925,66.12399,18.94561,0.4823619
CD-Abell-2218,2HERMES S350 SF J163534.3+662030,248.89313,66.34192,15.375417,0.5441262
CD-Abell-2218,2HERMES S350 SF J163534.7+660418,248.89487,66.071884,0,12.580141
CD-Abell-2218,2HERMES S350 SF J163535.0+661011,248.89598,66.16977,7.1609187,0.426241
CD-Abell-2218,2HERMES S350 SF J163535.4+661643,248.89764,66.27887,4.258924,0.41515774
CD-Abell-2218,2HERMES S350 SF J163535.6+661800,248.8985,66.30007,18.646158,0.43570346
CD-Abell-2218,2HERMES S350 SF J163535.9+660845,248.89967,66.14601,9.685615,0.415476
CD-Abell-2218,2HERMES S350 SF J163536.3+660550,248.90152,66.0974,8.766105,0.52576035
CD-Abell-2218,2HERMES S350 SF J163536.4+661329,248.90172,66.22493,20.849342,0.4115416
CD-Abell-2218,2HERMES S350 SF J163536.8+660450,248.90344,66.080795,13.313912,0.52779317
CD-Abell-2218,2HERMES S350 SF J163536.9+660649,248.90378,66.113815,3.0892901,0.4962184
CD-Abell-2218,2HERMES S350 SF J163536.9+660749,248.90381,66.13047,5.9422517,0.47874767
CD-Abell-2218,2HERMES S350 SF J163537.0+661509,248.90443,66.25272,13.989418,0.3979369
CD-Abell-2218,2HERMES S350 SF J163537.2+661120,248.90532,66.18902,0,2.9597805
CD-Abell-2218,2HERMES S350 SF J163537.5+661406,248.90656,66.23522,13.703824,0.42726168
CD-Abell-2218,2HERMES S350 SF J163537.7+660334,248.90727,66.05952,6.5187,0.50840765
CD-Abell-2218,2HERMES S350 SF J163537.9+661728,248.90799,66.29118,17.562485,0.40563866
CD-Abell-2218,2HERMES S350 SF J163538.0+660716,248.90836,66.12112,7.3297634,0.54174167
CD-Abell-2218,2HERMES S350 SF J163538.4+661307,248.91014,66.21889,10.743065,0.3913919
CD-Abell-2218,2HERMES S350 SF J163538.4+661927,248.91028,66.324196,22.410818,0.4813425
CD-Abell-2218,2HERMES S350 SF J163538.5+661550,248.91069,66.26404,18.729607,0.4008074
CD-Abell-2218,2HERMES S350 SF J163539.3+660302,248.9139,66.050674,9.930064,0.57840765
CD-Abell-2218,2HERMES S350 SF J163539.3+660732,248.91394,66.12559,27.437494,0.550234
CD-Abell-2218,2HERMES S350 SF J163539.5+660608,248.91492,66.10248,16.789404,0.5277425
CD-Abell-2218,2HERMES S350 SF J163539.9+661424,248.91626,66.24009,19.463137,0.41084275
CD-Abell-2218,2HERMES S350 SF J163540.0+661812,248.91681,66.303345,7.11067,0.39740986
CD-Abell-2218,2HERMES S350 SF J163540.1+662122,248.91736,66.35637,16.603289,0.62267846
CD-Abell-2218,2HERMES S350 SF J163540.4+662208,248.91864,66.36905,23.535936,0.8745573
CD-Abell-2218,2HERMES S350 SF J163540.9+661144,248.9205,66.195656,25.082645,0.41346693
CD-Abell-2218,2HERMES S350 SF J163541.1+661330,248.92146,66.225174,12.858696,0.39455846
CD-Abell-2218,2HERMES S350 SF J163541.6+660352,248.92351,66.064476,6.250557,0.5035013
CD-Abell-2218,2HERMES S350 SF J163541.6+662149,248.9236,66.36371,18.04612,0.81510764
CD-Abell-2218,2HERMES S350 SF J163541.8+660816,248.92422,66.13783,1.3831922,0.39726067
CD-Abell-2218,2HERMES S350 SF J163542.5+660613,248.92749,66.10374,14.757008,0.57788455
CD-Abell-2218,2HERMES S350 SF J163542.6+661205,248.92776,66.201645,13.770455,0.40760893
CD-Abell-2218,2HERMES S350 SF J163542.9+660449,248.92882,66.080315,9.177277,0.4715654
CD-Abell-2218,2HERMES S350 SF J163542.9+661500,248.92886,66.25016,4.0450726,0.39942935
CD-Abell-2218,2HERMES S350 SF J163543.0+660321,248.92955,66.05595,11.099981,0.5477371
CD-Abell-2218,2HERMES S350 SF J163543.2+660255,248.93008,66.04865,17.37851,0.5762097
CD-Abell-2218,2HERMES S350 SF J163543.8+662017,248.93251,66.33808,14.516823,0.5391407
CD-Abell-2218,2HERMES S350 SF J163544.0+661039,248.9336,66.177505,11.320298,0.38972935
CD-Abell-2218,2HERMES S350 SF J163544.5+661756,248.93573,66.29907,7.3631225,0.4144135
CD-Abell-2218,2HERMES S350 SF J163544.5+661838,248.93571,66.310616,3.9548364,0.43559676
CD-Abell-2218,2HERMES S350 SF J163544.6+661426,248.93602,66.24062,4.8638053,0.39262646
CD-Abell-2218,2HERMES S350 SF J163545.3+661541,248.9389,66.26163,20.39348,0.38668025
CD-Abell-2218,2HERMES S350 SF J163545.8+660616,248.9409,66.1046,10.829789,0.50910544
CD-Abell-2218,2HERMES S350 SF J163546.1+660853,248.94237,66.148224,8.879173,0.3906057
CD-Abell-2218,2HERMES S350 SF J163546.2+660736,248.9429,66.12675,5.9937754,0.43625358
CD-Abell-2218,2HERMES S350 SF J163546.7+661949,248.9449,66.33037,42.625664,0.4816376
CD-Abell-2218,2HERMES S350 SF J163546.9+660659,248.94571,66.116516,8.860408,0.4469847
CD-Abell-2218,2HERMES S350 SF J163547.5+661908,248.94792,66.31893,29.34386,0.40686652
CD-Abell-2218,2HERMES S350 SF J163548.4+661758,248.95201,66.29947,9.581483,0.4408345
CD-Abell-2218,2HERMES S350 SF J163548.8+661838,248.95366,66.31077,4.7117195,0.4678343
CD-Abell-2218,2HERMES S350 SF J163548.9+661222,248.95392,66.2062,9.581563,0.45806152
CD-Abell-2218,2HERMES S350 SF J163549.9+661302,248.9583,66.21741,12.1433525,0.41834536
CD-Abell-2218,2HERMES S350 SF J163550.1+660331,248.9589,66.058846,9.886725,0.5961865
CD-Abell-2218,2HERMES S350 SF J163550.2+660623,248.95958,66.10646,25.087534,0.47156492
CD-Abell-2218,2HERMES S350 SF J163550.5+661206,248.96043,66.201904,42.488373,0.5092729
CD-Abell-2218,2HERMES S350 SF J163550.6+660736,248.96088,66.1267,10.910669,0.44085777
CD-Abell-2218,2HERMES S350 SF J163550.6+661359,248.96101,66.23332,5.78731,0.39508665
CD-Abell-2218,2HERMES S350 SF J163551.0+660649,248.96268,66.113754,19.101461,0.4977249
CD-Abell-2218,2HERMES S350 SF J163551.4+661505,248.96443,66.25153,17.581093,0.53686863
CD-Abell-2218,2HERMES S350 SF J163551.5+661446,248.96483,66.246185,9.507534,0.44273427
CD-Abell-2218,2HERMES S350 SF J163551.7+660945,248.9656,66.162575,32.03334,0.40266317
