#REFERENCE 3 39.9711520 -1.5822620
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   372  -127.871  -387.110   407.683     0.006     0.006     1.001      0.00  -727491.7  800655.6    ++
   371   615.725  1776.445  1880.126     0.000     0.000     1.000      0.00  -1484124.9   44022.3    ++
   367  -478.815  -167.557   507.286     0.004     0.004     1.000      0.00  -829941.6       0.0    ++
   366  -187.151   281.361   337.919     0.010     0.010     1.002      0.00  -607412.4  222529.2    ++
   365   886.709  -605.182  1073.545     0.001     0.001     1.000      0.00  -1202394.1  -372452.6    ++
   364   470.017   123.698   486.022     0.005     0.005     1.000      0.00  -797091.9   32849.6    ++
   363   305.300  -769.435   827.792     0.002     0.002     1.000      0.00  -1067330.2  -237388.6    ++
   362   517.264   932.652  1066.491     0.001     0.001     1.000      0.00  -1175919.9  -345978.3    ++
   361  1634.725  1370.505  2133.216     0.000     0.000     1.000      0.00  -1558806.7  -728865.1    ++
   358  1420.509  1062.952  1774.179     0.000     0.000     1.000      0.00  -1458227.7       0.0    ++
   356   -81.657  1256.872  1259.522     0.001     0.001     1.000      0.00  -1263540.4  194687.3    ++
   355   105.153  1091.496  1096.549     0.001     0.001     1.000      0.00  -1187761.4  270466.3    ++
   353   120.499  1352.680  1358.036     0.001     0.001     1.000      0.00  -1304209.2  154018.6    ++
   350  -106.119  1431.882  1435.809     0.001     0.001     1.000      0.00  -1335209.4  123018.3    ++
   348  1089.576  -546.482  1218.942     0.001     0.001     1.000      0.00  -1268317.5       0.0    ++
   344  -682.394  -125.477   693.834     0.003     0.003     1.000      0.00  -979528.1  288789.4    ++
   341   -92.809   960.504   964.978     0.002     0.002     1.000      0.00  -1119720.8  148596.7    ++
   339   535.838   985.950  1122.150     0.001     0.001     1.000      0.00  -1203187.5       0.0    ++
   338  1009.314  1003.949  1423.598     0.001     0.001     1.000      0.00  -1336300.8  -133113.3    ++
   337  -285.753   180.132   337.790     0.009     0.009     1.001      0.00  -626080.5  577107.0    ++
   335  -581.650  -128.622   595.701     0.003     0.003     1.000      0.00  -905452.1  297735.4    ++
   334  1542.653  -261.541  1564.667     0.001     0.001     1.000      0.00  -1399111.9  -195924.4    ++
   333   528.778  1767.651  1845.047     0.000     0.000     1.000      0.00  -1473480.9  -270293.4    ++
   332  1220.137  1446.905  1892.688     0.000     0.000     1.000      0.00  -1490975.4  -287787.9    ++
   330   432.046  1622.299  1678.844     0.001     0.001     1.000      0.00  -1421166.0  -217978.5    ++
   329   820.028   751.717  1112.441     0.001     0.001     1.000      0.00  -1204156.7       0.0    ++
   328    92.294   -37.052    99.454     0.033     0.033     1.018      0.02  -246246.8  957909.9    ++
   327  1263.727  1047.718  1641.559     0.001     0.001     1.000      0.00  -1415132.8  -210976.0    ++
   326   861.477  -347.108   928.777     0.001     0.001     1.000      0.00  -1127277.5   76879.2    ++
   325  -624.461  -395.617   739.232     0.002     0.002     1.000      0.00  -1011650.5  192506.2    ++
   321   846.116   493.609   979.573     0.001     0.001     1.000      0.00  -1141176.7   62980.1    ++
   316   146.980  -567.059   585.797     0.004     0.004     1.000      0.00  -896373.4       0.0    ++
   314   392.518  -636.982   748.209     0.002     0.002     1.000      0.00  -1017894.3  -121520.9    ++
   313  1035.325  -785.537  1299.602     0.001     0.001     1.000      0.00  -1302180.9  -405807.5    ++
   309   966.482   236.758   995.058     0.001     0.001     1.000      0.00  -1155133.2       0.0    ++
   307   806.943  -186.721   828.265     0.002     0.002     1.000      0.00  -1067891.9   87241.4    ++
   306   465.050  1545.099  1613.568     0.001     0.001     1.000      0.00  -1399450.5  -244317.3    ++
   304  1469.239   450.705  1536.814     0.001     0.001     1.000      0.00  -1384793.4  -229660.2    ++
   299  -375.647   734.102   824.631     0.002     0.002     1.000      0.00  -1042328.2       0.0    ++
   298  1606.255  1680.042  2324.349     0.000     0.000     1.000      0.00  -1605133.6  -562805.4    ++
   297  1194.964   686.511  1378.127     0.001     0.001     1.000      0.00  -1322868.7  -280540.6    ++
   296  -199.696  -526.537   563.133     0.004     0.004     1.000      0.00  -876169.6  166158.6    ++
   292   515.201  1451.843  1540.546     0.001     0.001     1.000      0.00  -1374257.9  -331929.8    ++
   291  -189.974   317.049   369.608     0.008     0.008     1.001      0.00  -646087.6  396240.5    ++
   290  -220.811  -574.055   615.058     0.003     0.003     1.000      0.00  -918489.9  123838.3    ++
   289   -53.010  1630.966  1631.827     0.001     0.001     1.000      0.00  -1405398.6       0.0    ++
   288   761.828   871.881  1157.825     0.001     0.001     1.000      0.00  -1223542.7  181855.9    ++
   287   353.840   708.953   792.349     0.002     0.002     1.000      0.00  -1017216.5  388182.1    ++
   285  1632.348  1563.528  2260.349     0.000     0.000     1.000      0.00  -1590100.8  -184702.2    ++
   281  1010.388  1092.745  1488.280     0.001     0.001     1.000      0.00  -1359848.1   45550.5    ++
   277  1359.724  1343.714  1911.653     0.000     0.000     1.000      0.00  -1497490.4       0.0    ++
   275  1508.820  1449.950  2092.581     0.000     0.000     1.000      0.00  -1547471.0  -49980.6    ++
   269  -470.086   546.324   720.729     0.003     0.003     1.000      0.00  -978447.8       0.0    ++
   268   794.490  1592.038  1779.269     0.000     0.000     1.000      0.00  -1454542.7  -476094.9    ++
   263    -5.637     3.242     6.503     0.039     0.039     1.246      0.24  -42054.1  936393.7    ++
   262  1544.611   298.565  1573.202     0.001     0.001     1.000      0.00  -1398705.5  -420257.7    ++
   261   -23.702  1681.055  1681.222     0.001     0.001     1.000      0.00  -1421789.8  -443342.0    ++
   257  -563.201  -602.837   824.989     0.002     0.002     1.000      0.00  -1065584.2       0.0    ++
   256   278.038   839.268   884.124     0.002     0.002     1.000      0.00  -1073197.3   -7613.1    ++
   255   195.330   822.560   845.434     0.002     0.002     1.000      0.00  -1048666.6   16917.6    ++
   253   681.073  1736.341  1865.138     0.000     0.000     1.000      0.00  -1479931.3  -414347.1    ++
