Field,IAU,RA,Dec,F250,e_F250
CS-Abell-370,2HERMES S250 SF J023947.9-014141,39.94966,-1.6949447,0,3.082713
CS-Abell-370,2HERMES S250 SF J023948.0-013845,39.95034,-1.6460737,5.399032,0.80715615
CS-Abell-370,2HERMES S250 SF J023948.3-013334,39.951527,-1.5595307,38.638546,0.65662825
CS-Abell-370,2HERMES S250 SF J023948.4-014352,39.951675,-1.7311654,13.515256,1.7558507
CS-Abell-370,2HERMES S250 SF J023948.5-013403,39.952156,-1.5675936,0,6.594819
CS-Abell-370,2HERMES S250 SF J023948.7-013242,39.952957,-1.5450644,0,7.7290025
CS-Abell-370,2HERMES S250 SF J023948.7-013344,39.953075,-1.5622675,0,22.428902
CS-Abell-370,2HERMES S250 SF J023948.7-014429,39.952927,-1.7414936,0,5.4861665
CS-Abell-370,2HERMES S250 SF J023948.8-012752,39.953617,-1.464699,0,3.790661
CS-Abell-370,2HERMES S250 SF J023948.8-012931,39.953568,-1.4921385,10.815361,0.90057653
CS-Abell-370,2HERMES S250 SF J023948.8-013521,39.95371,-1.5893435,0,8.822759
CS-Abell-370,2HERMES S250 SF J023948.8-014442,39.953705,-1.7452165,0,4.7968736
CS-Abell-370,2HERMES S250 SF J023949.1-012820,39.95499,-1.4724586,0,8.454255
CS-Abell-370,2HERMES S250 SF J023949.1-013659,39.95499,-1.6164082,7.8786135,0.7099474
CS-Abell-370,2HERMES S250 SF J023949.1-013751,39.95462,-1.6308463,0,10.463369
CS-Abell-370,2HERMES S250 SF J023949.1-013852,39.954697,-1.6479173,0,13.853389
CS-Abell-370,2HERMES S250 SF J023949.3-013155,39.9558,-1.5321585,8.93777,0.6945012
CS-Abell-370,2HERMES S250 SF J023949.4-013541,39.95601,-1.5947473,10.300068,0.6617269
CS-Abell-370,2HERMES S250 SF J023949.4-014043,39.95588,-1.6787362,4.5044093,1.0328406
CS-Abell-370,2HERMES S250 SF J023949.5-012903,39.956306,-1.4844185,0,4.8095417
CS-Abell-370,2HERMES S250 SF J023949.7-013118,39.95744,-1.5218745,0,0.7482735
CS-Abell-370,2HERMES S250 SF J023949.9-013418,39.95819,-1.5717568,0,7.3089843
CS-Abell-370,2HERMES S250 SF J023950.0-013426,39.9587,-1.5740324,0,8.576504
CS-Abell-370,2HERMES S250 SF J023950.2-013917,39.959576,-1.6549984,0,4.07608
CS-Abell-370,2HERMES S250 SF J023950.4-014428,39.960197,-1.7412441,18.213755,1.8035965
CS-Abell-370,2HERMES S250 SF J023950.5-013544,39.960682,-1.5956388,0,11.811976
CS-Abell-370,2HERMES S250 SF J023950.6-013350,39.961063,-1.563895,0,12.7741995
CS-Abell-370,2HERMES S250 SF J023950.6-013739,39.961025,-1.6276803,13.531837,0.75506616
CS-Abell-370,2HERMES S250 SF J023951.1-013214,39.963234,-1.5372282,32.581177,0.68469894
CS-Abell-370,2HERMES S250 SF J023951.1-013442,39.96305,-1.5783496,0,7.6103587
CS-Abell-370,2HERMES S250 SF J023951.3-014127,39.964066,-1.6908733,10.314927,1.1254443
CS-Abell-370,2HERMES S250 SF J023951.4-013449,39.964573,-1.5803037,0,10.038214
CS-Abell-370,2HERMES S250 SF J023951.6-013036,39.96534,-1.5102384,0.8325648,0.76222223
CS-Abell-370,2HERMES S250 SF J023951.7-013009,39.965767,-1.5025289,8.223965,0.79982257
