   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME
   447  -116.118  -227.236   255.207     0.093     0.093     1.028      0.03  -479863.9  349002.8
   446   108.611  -788.516   795.174     0.015     0.015     1.001      0.00  -986991.6  -158124.9
   445  -679.708  -567.936   886.316     0.012     0.012     1.001      0.00  -1042270.8  -213404.1
   444  -466.185  -407.350   619.619     0.023     0.023     1.002      0.00  -866879.9  -38013.1
   443  -729.807   781.158  1070.341     0.009     0.009     1.000      0.00  -1124046.0  -295179.3
   442   613.052   796.738  1005.027     0.010     0.010     1.001      0.00  -1086212.2  -257345.5
   441  -209.126  -128.268   246.077     0.093     0.093     1.023      0.02  -466571.3  362295.4
   440   153.028  -551.234   571.147     0.026     0.026     1.003      0.00  -828143.3     723.4
   439   704.695    21.628   703.792     0.018     0.018     1.001      0.00  -925376.6       0.0
   438  -847.250    -6.479   848.525     0.013     0.013     1.001      0.00  -1018749.9  -93373.3
   437   319.281    97.221   332.737     0.064     0.064     1.010      0.01  -570194.8  355181.7
   436   717.515  -666.842   978.201     0.010     0.010     1.000      0.00  -1094401.8  -169025.3
   435   336.405   525.280   623.617     0.025     0.025     1.003      0.00  -838479.3   86897.3
   434  -763.785   -41.796   766.147     0.015     0.015     1.001      0.00  -968415.2  -43038.6
   433   381.232  -230.608   444.157     0.038     0.038     1.004      0.00  -716548.6  208828.0
   432   846.669  -612.195  1043.430     0.009     0.009     1.000      0.00  -1127192.7  -201816.1
   431   793.013    35.745   792.593     0.015     0.015     1.001      0.00  -983776.9  -58400.4
   430  -870.314   389.721   954.987     0.011     0.011     1.000      0.00  -1072544.4  -147167.8
   429  -375.553   418.772   563.804     0.029     0.029     1.003      0.00  -797811.8       0.0
   428  -310.238  -452.299   548.671     0.028     0.028     1.003      0.00  -808152.6  -10340.7
   427   650.289  -709.189   960.891     0.010     0.010     1.000      0.00  -1085167.8  -287356.0
   426   293.143    84.079   303.929     0.073     0.073     1.012      0.01  -532369.0  265442.8
   425  -639.494  -145.040   656.822     0.020     0.020     1.001      0.00  -894527.7  -96715.8
   424   783.508  -453.134   903.707     0.011     0.011     1.000      0.00  -1054697.7  -256885.9
   423   298.972   -92.722   311.637     0.066     0.066     1.010      0.01  -561369.7  236442.2
   422  -874.359  -337.280   938.103     0.011     0.011     1.000      0.00  -1071143.4  -273331.6
   421  -667.038  -515.922   843.889     0.013     0.013     1.001      0.00  -1017898.0  -220086.2
   420   872.514   694.500  1114.580     0.008     0.008     1.000      0.00  -1145288.9  -347477.1
   419  -190.751   251.655   317.033     0.076     0.076     1.016      0.02  -525351.8       0.0
   418  -225.333  -713.612   748.129     0.017     0.017     1.002      0.00  -955944.6  -430592.8
   417  -765.692  -768.661  1085.399     0.008     0.008     1.000      0.00  -1144486.3  -619134.5
   416   767.633  -637.577   996.518     0.010     0.010     1.000      0.00  -1103864.1  -578512.4
   415  -295.300  -375.720   478.167     0.035     0.035     1.005      0.01  -744930.5  -219578.7
   414  -147.968   394.900   422.736     0.050     0.050     1.009      0.01  -645883.7  -120532.0
   413   226.459  -355.039   419.915     0.043     0.043     1.006      0.01  -690508.7  -165157.0
   412   551.575   553.115   780.690     0.016     0.016     1.001      0.00  -958269.0  -432917.3
   411  -835.640   576.441  1016.560     0.010     0.010     1.000      0.00  -1101358.5  -576006.7
   410  -389.227  -586.070   703.723     0.018     0.018     1.002      0.00  -927021.1  -401669.3
   409   -95.052  -787.564   792.813     0.015     0.015     1.001      0.00  -984534.4       0.0
   408   352.944  -202.807   405.665     0.044     0.044     1.005      0.01  -676247.6  308286.8
   407  -203.008  -570.734   605.599     0.024     0.024     1.003      0.00  -853701.6  130832.8
   406   834.942  -319.401   892.554     0.012     0.012     1.000      0.00  -1047832.7  -63298.3
   405  -103.467   525.716   536.655     0.034     0.034     1.005      0.01  -758225.3  226309.1
   404  -710.200  -884.858  1134.919     0.008     0.008     1.000      0.00  -1166930.7  -182396.2
   403   835.729    36.746   835.310     0.013     0.013     1.001      0.00  -1009979.9  -25445.5
   402    13.170   290.506   291.372     0.099     0.099     1.034      0.04  -465989.0  518545.5
   401   321.015  -617.489   694.817     0.018     0.018     1.002      0.00  -923449.5   61084.9
   400  -556.580  -234.407   604.843     0.023     0.023     1.002      0.00  -855734.9  128799.5
